TranslatedReaction	VMHreaction
rxn03508	AMUAH
rxn23465	AMUAH
rxn03063	AMZMT
rxn03065	ANADMHAMT
rxn07268	ANAGAT
rxn03659	ANAH
rxn06735	ANANBGANANT
rxn06728	ANANGAANT
rxn03465	ANH
rxn03952	ANHGOR
rxn08136	ANHMK
rxn02821	ANMNLH
rxn04109	ANOR
rxn01289	ANOX
rxn00791	ANPRT
rxn04110	ANRJMNAH
rxn00727	ANS
rxn00726	ANS2
rxn00723	ANTHCOAL
rxn12383	ANTHte
rxn33626	ANTHte
rxn02666	AOBUTDs
rxn02916	AOXHEXCYCL
rxn02297	AOXSr
rxn00095	AP4AH
rxn00133	AP4AH1
rxn08137	AP5AH
rxn03030	APAT
rxn00656	APATr
rxn01184	APATTc
rxn03753	APCO2L
rxn05053	APEAH
rxn01630	APENTAMAH
rxn06658	APGAMDH
rxn11808	APGTHNT
rxn11809	APOR
rxn02844	APPAT
rxn02667	APPLOX
rxn10439	APPP
rxn02474	APRAUR
rxn31941	APRUTtex
rxn01631	APTNAT
rxn02131	APTRNAH
rxn08142	ARAB_Lt
rxn09695	ARAB_Lt
rxn09988	ARABASE3e
rxn01148	ARABDPT
rxn12574	ARABDt2
rxn01287	ARABPT
rxn05499	ARABt
rxn32874	ARABt
rxn32883	ARABt
rxn01828	ARABTH
rxn33309	ARACHDt2
rxn33310	ARACHDt2
rxn39013	ARACHDt2
rxn39012	ARACHt
rxn01292	ARAI
rxn10822	ARB_Dabc
rxn05173	ARBabc
rxn08139	ARBabc
rxn11063	ARBabc
rxn05500	ARBt2r
rxn08140	ARBt2r
rxn05501	ARBTpts
rxn05154	ARGabc
rxn08151	ARGabc
rxn01461	ARGAMDTR
rxn00395	ARGDA
rxn30071	ARGDA
rxn30617	ARGDA
rxn33434	ARGDA
rxn00405	ARGDC
rxn00396	ARGKr
rxn00394	ARGN
rxn19181	ARGN
rxn30615	ARGN
rxn31988	ARGN
rxn00401	ARGOR
rxn05502	ARGPt2r
rxn00406	ARGR
rxn00802	ARGSL
rxn01434	ARGSSr
rxn05303	ARGt2
rxn09783	ARGt2r
rxn12437	ARGt2r
rxn08155	ARGt5r
rxn10840	ARGt5r
rxn33718	ARGt5r
rxn00490	AROH
rxn05504	ARSENBabc
rxn05505	ARSENBt2
rxn01643	ASAD
rxn03369	ASAEPT
rxn02247	ASAL
rxn00028	ASCBOR
rxn07492	ASCBPL
rxn08159	ASCBt
rxn33572	ASCBt
rxn10440	ASD
rxn45998	ASD
rxn06035	ASDAH
rxn02245	ASERUT
rxn08162	ASN_Ltex
rxn08160	ASNabc
rxn10144	ASNabc
rxn00937	ASNHL
rxn00416	ASNS1
rxn00340	ASNS2
rxn05508	ASNt2r
rxn08161	ASNt2r
rxn05507	ASO3t
rxn08164	ASO3t
rxn29782	ASO3t
rxn05506	ASO4t
rxn08170	ASP_Ltex
rxn00346	ASP1DC
rxn00279	ASP4DC
rxn05152	ASPabc
rxn08165	ASPabc
rxn01018	ASPCT
rxn12404	ASPDTDe
rxn30250	ASPDTDe
rxn00337	ASPK
rxn00339	ASPNH4L
rxn00262	ASPO1
rxn05119	ASPO2
rxn08166	ASPO3
rxn08167	ASPO4
rxn08168	ASPO5
rxn00338	ASPO6
rxn13761	ASPO8
rxn05227	ASPO9
rxn00348	ASPR
rxn00347	ASPT
rxn29994	ASPT_rev
rxn08169	ASPt2_2
rxn10151	ASPt2_2
rxn10155	ASPt2_3
rxn29029	ASPt2_3
rxn05217	ASPt2r
rxn09781	ASPt2r
rxn09825	ASPt2r
rxn12439	ASPt2r
rxn13233	ASPt2r
rxn34358	ASPt2r
rxn34456	ASPt2r
rxn39046	ASPt2r
rxn00260	ASPTA
rxn27719	ASPTA
rxn27720	ASPTA
rxn30355	ASPTA
rxn34664	ASPTA4
rxn34671	ASPTA4
rxn10906	ASPte
rxn13232	ASPte
rxn31157	ASPte
rxn08171	ASR
rxn00601	AST
rxn32653	AST
rxn32654	AST
rxn33032	AST
rxn04288	ATDOGAT
rxn03943	ATDPPMT
rxn08172	ATHRDHr
rxn01030	ATNPT
rxn03814	ATOGPDMT
rxn01511	ATPH
rxn00061	ATPH1e
rxn00064	ATPHs
rxn00078	ATPNADHPPT
rxn00789	ATPPRT
rxn10443	ATPS1
rxn13766	ATPS3r
rxn10042	ATPS4
rxn08173	ATPS4r
rxn01147	ATPTHYPPT
rxn31770	AVITE1t
rxn07141	AVKTNL
rxn01074	AXPUT
rxn03905	B3GALT3
rxn00794	BAAH
rxn06734	BACCL
rxn00792	BACCLi
rxn02182	BACOAAL
rxn14099	BADOR
rxn05495	BALAt2r
rxn08174	BALAt2r
rxn02353	BAMHH
rxn00653	BAMPPALDOX
rxn00025	BCDO
rxn35456	BCDO
rxn01900	BCHOR
rxn02515	BCMHH
rxn00994	BCOAACT
rxn03490	BDCOR
rxn03402	BDG2HCGHD
rxn03487	BDGCNGH
rxn02695	BDGGH
rxn06005	BDGGNSH
rxn11513	BDGSDGH
rxn00992	BDH
rxn14379	BDHBPOR
rxn02636	BDHOBPOR
rxn14256	BDMMH
rxn01867	BETALDHx
rxn01868	BETALDHy
rxn11743	BETALDOR
rxn00032	BETALDOR2
rxn02812	BFAPT
rxn07489	BGALPPH
rxn33628	BGALPPH
rxn11567	BGBGCGH
rxn00222	BGLA
rxn30251	BGLA
rxn32119	BGLA
rxn00608	BGLA1
rxn00020	BGLAr
rxn02409	BGSLGCGH
rxn12405	BHBtp
rxn02272	BHDSOR
rxn02028	BHMT
rxn02014	BICoAL1
rxn03576	BIPHEOR
rxn04694	BISPPLR
rxn01854	BOCLUH
rxn06727	BPCTL
rxn02478	BPDOR
rxn03573	BPHEOR
rxn00137	BPNT
rxn11357	BPNT
rxn32810	BPNT
rxn00360	BPNT2
rxn33222	BPNT2
rxn03575	BPOR
rxn02068	BRGPTLMT
rxn12564	BRTt2r
rxn02694	BSCDNAH
rxn03877	BSFL
rxn08178	BSORx
rxn08179	BSORy
rxn00869	BTALDH
rxn02112	BTDD_RR
rxn39373	BTDD_RR
rxn11322	BTDt1_RR
rxn05223	BTNabc
rxn06672	BTNCL
rxn00795	BTND1
rxn48436	BTND1
rxn06864	BTNPL
rxn09693	BTNt2
rxn29122	BTNT5r
rxn38791	BTNT5r
rxn38792	BTNT5r
rxn38793	BTNT5r
rxn01237	BTNTOR
rxn00796	BTS3r
rxn08180	BTS4
rxn03849	BUAMDH
rxn03188	BUP2
rxn03848	BURTADH
rxn00875	BUTCTr
rxn01236	BUTKr
rxn05512	BUTSO3abc
rxn08181	BUTSO3abc
rxn08182	BUTSO3tex
rxn05683	BUTt2r
rxn08183	BUTt2r
rxn08184	BUTtr
rxn11382	BUTtr
rxn32366	BVITEt
rxn03897	BZ12DOX
rxn03898	BZ12DOXy
rxn01033	BZALDOR
rxn03869	BZAMAH
rxn04183	BZCOABT
rxn00584	BZDIOLDH
rxn03602	BZDOG
rxn01294	BZLFCL
rxn03649	BZOHDH
rxn01293	BZOHOR
rxn04969	BZOR
rxn03936	BZT12DOG
rxn12436	BZtex
rxn12629	C02356t2r
rxn40935	C02528ter
rxn40543	C120CPT1
rxn10097	C140SN
rxn10099	C160SN
rxn10954	C180SNrev
rxn10101	C181SN
rxn07882	C2M26DCOAHL
rxn05513	CA2abc
rxn10447	CA2abc
rxn08186	CA2t
rxn29058	CA2t
rxn29529	CA2t
rxn08187	CADVt
rxn10148	CADVt
rxn03971	CALDHOR
rxn03970	CALDOR
rxn03507	CAMUAH
rxn31999	CAROtr
rxn07312	CARTNLMT
rxn08185	CAt4
rxn29257	CAt4
rxn05514	CAt4i
rxn08188	CAt6
rxn10448	CAt6
rxn00588	CATDOX
rxn05112	CBACPAH
rxn09824	CBASPte
rxn08191	CBIabc
rxn10449	CBIabc
rxn05029	CBIAT
rxn08192	CBL1abc
rxn10147	CBL1abc
rxn28561	CBl1te
rxn28562	CBl1te
rxn05515	CBL2abc
rxn00074	CBL2D
rxn01084	CBLAT
rxn08194	CBLAT
rxn00114	CBMKr
rxn05063	CBMTHL
rxn32911	CBMTHL
rxn32912	CBMTHL
rxn32914	CBMTHL
rxn05064	CBMTHL2
rxn01020	CBPCT
rxn03574	CBPR
rxn00113	CBPS
rxn00414	CBPS
rxn12519	CBPt2
rxn01881	CBR2
rxn03915	CBZALDDH
rxn03706	CCLOR
rxn06805	CCLYSMT
rxn07603	CCOAAT
rxn07219	CCOALT
rxn00259	CCOAOAAL
rxn01429	CCOAQNTHCT
rxn14425	CCOuq
rxn00014	CCP
rxn05516	CD2abc1
rxn08195	CD2abc1
rxn10453	CD2abc1
rxn08196	CD2t3
rxn13814	CD2t3
rxn05517	CD2t6r
rxn08197	CD2tex2
rxn08198	CD2tex2
rxn29670	CD2tex2
rxn08199	CDAPPA120
rxn08200	CDAPPA140
rxn08201	CDAPPA141
rxn08202	CDAPPA160
rxn08203	CDAPPA161
rxn08204	CDAPPA180
rxn08205	CDAPPA181
rxn10454	CDGGGPP3
rxn10455	CDGGGPP4
rxn10458	CDGGGSAT
rxn10459	CDGGGSAT2
rxn10460	CDGGIPT
rxn10461	CDGGIPT2
rxn04719	CDHNDOR
rxn04649	CDHOFAL
rxn03439	CDOSKT
rxn13999	CDPABEQSy
rxn06652	CDPCCPT
rxn00366	CDPDPH
rxn07261	CDPEAS
rxn01750	CDPGHL
rxn10192	CDPGLYCGPT
rxn00620	CDPGLYCPGH
rxn03908	CDPMEK
rxn29880	CE2705t
rxn11725	CE4843HYDc
rxn03287	CE5166OR
rxn00655	CEBALAOR
rxn05518	CELBpts
rxn01049	CELLBK
rxn00314	CELYSOR
rxn02677	CENLL
rxn00466	CEORNOR
rxn00698	CEPA
rxn07729	CFFNOR
rxn07762	CFFNR
rxn07746	CFNOR
rxn07745	CFNORN1
rxn07744	CFNORN3
rxn07761	CFNR
rxn01887	CFRLOHOR
rxn02415	CFTCL
rxn06823	CGGH
rxn05539	CGLYabc
rxn08210	CGLYabc
rxn05529	CGLYt
rxn08211	CGLYtex
rxn10470	CH4St
rxn32480	CH4St
rxn10471	CH4t
rxn13109	CH4t
rxn01600	CHAOR
rxn02296	CHCOAL
rxn03456	CHDAH
rxn03876	CHDCCOAHL
rxn40410	CHDHR
rxn01066	CHEAH
rxn03879	CHEXCBXLCOAH
rxn05159	CHLabc
rxn08212	CHLabc
rxn02199	CHLAT
rxn07263	CHLNPT
rxn02716	CHLOROPHAOR1
rxn04161	CHLOROPHCPT
rxn04684	CHLP
rxn30859	CHLP
rxn01380	CHLPCTD
rxn04159	CHLPHYLLIDEOR
rxn28310	CHLPHYLLIDEOR
rxn04158	CHLPHYLLIDEOR2
rxn04705	CHLPHYLLIDEOR2
rxn04162	CHLPHYLLOR
rxn28309	CHLPHYLLOR
rxn08213	CHLt2r
rxn09692	CHLt2r
rxn12380	CHLt2r
rxn01994	CHMSADC
rxn11610	CHMSAH
rxn03078	CHMSAOR
rxn06250	CHNZALDL
rxn05184	CHOLabc
rxn12738	CHOLabc
rxn47305	CHOLATEter
rxn10770	CHOLD
rxn01869	CHOLD3
rxn12191	CHOLDH
rxn00751	CHOLK
rxn00752	CHOLOOR
rxn11744	CHOLOX
rxn05718	CHOLPtr
rxn32846	CHOLPtr
rxn00756	CHOLSH
rxn12791	CHOLStex
rxn08214	CHOLtex
rxn01064	CHOR
rxn01256	CHORM
rxn19309	CHORM
rxn33299	CHORM
rxn01255	CHORS
rxn05519	CHORt
rxn00966	CHRPL
rxn39202	CHSTEROLup
rxn18486	CHTBSabc
rxn01597	CHXNLOR
rxn04754	CHXNR
rxn04032	CIAH
rxn04598	CINNDO
rxn01611	CINNMOR
rxn04740	CISDHNDOR
rxn02877	CISDHNOR
rxn14271	CISIPOR
rxn10855	CIT_Mgt
rxn10842	CITabc
rxn05213	CITCAt
rxn00265	CITL
rxn00234	CITMALL
rxn01804	CITMCOAHL
rxn00177	CITMCOALc
rxn05674	CITR_Lt2
rxn30254	CITR_Lt2
rxn30255	CITR_Lt2
rxn00465	CITRH
rxn29082	CITRtr
rxn29083	CITRtr
rxn32225	CITRtr
rxn05214	CITt10
rxn05520	CITt11
rxn05522	CITt13
rxn05523	CITt15
rxn08216	CITt7
rxn10150	CITt7
rxn08217	CITtex
rxn06907	CLACH
rxn04671	CLBR
rxn01052	CLBSE
rxn29055	CLCFTRte
rxn38728	CLCFTRte
rxn03142	CLCMBCT
rxn06910	CLMCI
rxn06359	CLPAOR
rxn03741	CLPHOR
rxn03677	CLPMC
rxn08219	CLPNH120
rxn08223	CLPNH161
rxn08224	CLPNH180
rxn08225	CLPNH181
rxn08226	CLPNS120
rxn08227	CLPNS140
rxn10335	CLPNS140
rxn08229	CLPNS160
rxn10334	CLPNS160
rxn08230	CLPNS161
rxn08231	CLPNS180
rxn10336	CLPNS180
rxn08232	CLPNS181
rxn10341	CLPNSAI15
rxn10338	CLPNSAI17
rxn10339	CLPNSI14
rxn10340	CLPNSI15
rxn10342	CLPNSI16
rxn10337	CLPNSI17
rxn14089	CLPOR
rxn07267	CLS
rxn08233	CLt4r
rxn06570	CLYSMT
rxn02483	CMLDC
rxn03109	CMMBMM
rxn10054	CMPDAi
rxn00362	CMPN
rxn00827	CMPSAS
rxn05525	CMPt2i
rxn04779	CMZNH
rxn02189	CNMLOHOR
rxn02334	CNNH
rxn05467	CO2t
rxn08237	CO2t
rxn08238	CO2t
rxn09706	CO2t
rxn09775	CO2t
rxn09821	CO2t
rxn09860	CO2t
rxn05166	Coabc
rxn10832	COAti
rxn13243	COAti
rxn13244	COAti
rxn31203	COAti
rxn08240	COBALTt
rxn13681	COBALTt
rxn08241	COBALTt5
rxn08242	COBALTt5
rxn10474	COBALTt5
rxn06887	COBB
rxn03126	COBCOMOX
rxn03542	COCHL
rxn10476	COCHL
rxn06299	COF420H
rxn04425	COHOR
rxn08243	COLIPAabc
rxn10480	COt
rxn04781	CPALDH
rxn11876	CPALDOR
rxn04780	CPAMLNH
rxn04046	CPC2MT
rxn04047	CPC3MT
rxn04048	CPC4MT
rxn04049	CPC5MT
rxn07586	CPC5MT1
rxn07587	CPC5MT2
rxn04051	CPC6MT
rxn07588	CPC6MT
rxn07589	CPC6MT
rxn04050	CPC6R
rxn39860	CPC7BMT
rxn04052	CPC8MM
rxn01885	CPCTDTX
rxn01855	CPOR
rxn02303	CPPPGO
rxn25989	CPPPGO
R06895	CPPPGO2
rxn04704	CPPPGO2
rxn12220	CPPPGOrev
rxn04634	CRBGT
rxn01142	CREADNH
rxn05180	CRNabc
rxn08253	CRNabc
rxn08254	CRNBTCT
rxn08255	CRNCAL2
rxn08256	CRNCAR
rxn08257	CRNCBCT
rxn08258	CRNCDH
rxn08260	CRNDCAL2
rxn08265	CRNt
rxn09691	CRNt
rxn09773	CRNt
rxn09858	CRNt
rxn08263	CRNt7
rxn10149	CRNt7
rxn01728	CRNTNCL
rxn01725	CRNTNOR
rxn15326	CRNTNOR
rxn05526	CRO4t3
rxn02090	CRTNIH
rxn05129	CRTNsyn
rxn02362	CSDPGS
rxn00717	CSND
rxn29997	CSND
rxn09888	CSNMT
rxn05527	CSNt6
rxn08266	CSNt6
rxn12428	CSNt6
rxn08267	CSNtex
rxn15949	CSPMDDC
rxn15947	CSPMDDH
rxn02196	CSPRNAH
rxn05192	CTBTabc
rxn08268	CTBTabc
rxn08269	CTBTCAL2
rxn04654	CTCHLOOR
rxn04648	CTCHLOR
rxn02969	CTCLDO
rxn00587	CTCLOR
rxn01051	CTGH
rxn12110	CTHNMT
rxn00554	CTPF6PT
rxn00413	CTPPPL
rxn00410	CTPS1
rxn00412	CTPS2
rxn02579	CTXTBEBH
rxn05212	CU2t
rxn08273	CU2t
rxn08274	CU2t
rxn38516	CU2t
rxn08275	CU2t3r
rxn10481	Cuabc
rxn05528	Cut1
rxn08271	Cut1
rxn08276	CYANt
rxn08277	CYNTAH
rxn02529	CYNTCNL
rxn08278	CYNTt2
rxn10132	CYNTt2
rxn08279	CYNTtex
rxn00058	CYO1b
rxn14419	CYOBDOX
rxn14418	CYOBDR
rxn10043	CYOO3
rxn14412	CYOR1
rxn10044	CYOR3
rxn03535	CYRDAAT
rxn11650	CYRDAR
rxn03533	CYRDAR2
rxn10482	CYRDARrev
rxn06979	CYRDAS
rxn10483	CYRDAS
rxn05237	CYSabc
rxn08281	CYSabc
rxn01365	CYSDDS
rxn00566	CYSDS
rxn00645	CYSO
rxn00652	CYSR
rxn31853	CYSR
rxn31854	CYSR
rxn31855	CYSR
rxn00649	CYSS
rxn05733	CYSS3r
rxn00624	CYSSADS
rxn10398	CYST_Ltr
rxn30258	CYST_Ltr
rxn31817	CYST_Ltr
rxn09690	CYSt2r
rxn11324	CYSt2r
rxn00647	CYSTA
rxn08284	CYStec
rxn08286	CYStec
rxn10998	CYStec
rxn32728	CYStec
rxn34361	CYStec
rxn00742	CYSTGL
rxn11079	CYSTGL
rxn00950	CYSTL
rxn00953	CYSTS
rxn15167	CYSTS
rxn32102	CYSTS
rxn05909	CYSTS2
rxn10045	CYTB_B2
rxn10046	CYTB_B3
rxn08288	CYTBD
rxn10112	CYTBD
rxn10113	CYTBD
rxn12211	CYTBD
rxn12494	CYTBD
rxn08287	CYTBD2
rxn10806	CYTBD2
rxn14422	CYTCR_BD
rxn14421	CYTCR_BO
rxn13689	CYTCuq
rxn01368	CYTD
rxn30003	CYTD
rxn33463	CYTD
rxn01541	CYTDH
rxn00365	CYTDK1
rxn00369	CYTDK2
rxn00707	CYTDK3
rxn00368	CYTDK4
rxn08290	CYTDt
rxn10997	CYTDt
rxn13338	CYTDt
rxn05198	CYTDt2r
rxn08289	CYTDt2r
rxn12413	CYTDt2r
rxn10857	CYTDt4
rxn00364	CYTK1
rxn01219	CYTK2
rxn03714	CZLOR
rxn05225	D_GLUMANt
rxn00779	D_GLY3PR
rxn00146	D_LACD
rxn08350	D_LACt2
rxn09772	D_LACt2
rxn10171	D_LACt2
rxn12366	D_LACt2
rxn02071	D_PROHOX
rxn01634	D4DGCD
rxn02039	D4OR
rxn03023	D5KGK
rxn03932	D5KGK
rxn01176	D5KGPA
rxn08291	DAAD
rxn04787	DABAT
rxn07465	DABCL
rxn06387	DABGGAH
rxn13822	DAD_5t
rxn33776	DAD_5t
rxn33779	DAD_5t
rxn01858	DADA
rxn30004	DADA
rxn32203	DADA
rxn32204	DADA
rxn01508	DADNK
rxn05317	DADNt2r
rxn08292	DADNt2r
rxn12414	DADNt2r
rxn08293	DADNt4
rxn10939	DADNt4
rxn06284	DAFPL
rxn06509	DAGCL
rxn01092	DAGEAPT
rxn06869	DAGGT
rxn08294	DAGK120
rxn08295	DAGK140
rxn08296	DAGK141
rxn08297	DAGK160
rxn08298	DAGK161
rxn08299	DAGK180
rxn08300	DAGK181
rxn02045	DAHAM
rxn03205	DAHNTOR
rxn03204	DAHOR
rxn06425	DAL
rxn04092	DALAOX
rxn05494	DALAt2r
rxn08301	DALAt2r
rxn13660	DALAt4r
rxn04571	DAMNO
rxn08304	DAPabc
rxn10145	DAPabc
rxn01972	DAPDA
rxn00313	DAPDC
rxn10484	DAPDH
rxn01974	DAPE
rxn27789	DAPE
rxn01991	DAPMDH
rxn02325	DAPNTAKGAT
rxn15393	DAPNTAKGAT
rxn03275	DASCBH
rxn03426	DASPAT
rxn00263	DASPO1
rxn08306	DASYN120
rxn08307	DASYN140
rxn08308	DASYN141
rxn08309	DASYN160
rxn08310	DASYN161
rxn08311	DASYN180
rxn08312	DASYN181
rxn10224	DASYNAI15
rxn10221	DASYNAI17
rxn10222	DASYNI14
rxn10223	DASYNI15
rxn10225	DASYNI16
rxn10220	DASYNI17
rxn11580	DATPDPPT
rxn08313	DATPHs
rxn12647	DATPti
rxn05040	DB4PS
rxn13779	DB4Pt
rxn03739	DBDOR
rxn02277	DBTS
rxn02843	DCAMT
rxn08314	DCATDc
rxn09855	DCATDc
rxn13159	DCATDc
rxn03729	DCBR
rxn11553	DCLMPDOH
rxn01217	DCMPDA
rxn30074	DCMPDAi
rxn31917	DCMPDAi
rxn08315	DCMPtr
rxn29328	DCMPtr
rxn33608	DCMPtr
rxn03693	DCMS
rxn00428	DCMTHCL
rxn11801	DCOAH
rxn02807	DCPOR
rxn02610	DCT
rxn05059	DCTPAH
rxn01672	DCTPD
rxn00407	DCTPD2
rxn01800	DCYTD
rxn30007	DCYTD
rxn08317	DCYTt
rxn11014	DCYTt
rxn05205	DCYTt2r
rxn08316	DCYTt2r
rxn12415	DCYTt2r
rxn08318	DDCAt
rxn09854	DDCAt
rxn13160	DDCAt
rxn02429	DDGALK
rxn05681	DDGLCNt2r
rxn08319	DDGLCNt2r
rxn01123	DDGLKr
rxn04321	DDMADAGT
rxn02975	DDOGE
rxn01332	DDPA
rxn00328	DDPGA
rxn00783	DDPGALA
rxn03854	DEAMO
rxn03851	DEAMT
rxn07880	DEOXFVS
rxn09460	DESAT14
rxn09459	DESAT16
rxn09457	DESAT16_3
rxn09458	DESAT18
rxn09989	DEXTRINASE
rxn10401	DEXTRINASE
rxn05531	DEXTRINt2
rxn00632	DF2PP
rxn02608	DFHL
rxn06394	DGALGCH
rxn00809	DGALOR
rxn11551	DGALOR
rxn15123	DGALOR
rxn12185	DGALORNAD
rxn15743	DGALORNAD
rxn00812	DGALORNADP
rxn15129	DGALORNADP
rxn01031	DGBAH
rxn01124	DGC3D2
rxn11587	DGCGH
rxn11609	DGDAGGH
rxn06403	DGGH
rxn10487	DGGPGP
rxn10488	DGGPGP2
rxn01509	DGK1
rxn00040	DGLTAH
rxn12575	DGLU6Pt2
rxn05122	DGNTH
rxn00633	DGOR
rxn00813	DGORNADP
rxn15131	DGORNADP
rxn01076	DGRNTPT
rxn06700	DGSLDAGS
rxn09688	DGSNt2
rxn08323	DGSNt2r
rxn12416	DGSNt2r
rxn08324	DGSNtex
rxn12648	DGTPti
rxn01393	DGULND
rxn00898	DHAD1
rxn03437	DHAD2
rxn00744	DHAK
rxn00968	DHAPOR
rxn00745	DHAPT
rxn09771	DHAPtr
rxn31168	DHAPtr
rxn05532	DHAt
rxn08325	DHAt
rxn08326	DHAt
rxn00592	DHBCL
rxn01094	DHBD
rxn01093	DHBS
rxn07602	DHBSDO
rxn03559	DHCBPOR
rxn04600	DHCIND
rxn04603	DHCINDO
rxn03766	DHCOGOR
rxn02432	DHDDOGOR
rxn02433	DHDGOR
rxn02328	DHDHKOR
rxn04299	DHDOAGE
rxn02210	DHDOFGA
rxn02929	DHDPRy
rxn39452	DHDPRy
rxn01644	DHDPS
rxn40037	DHDPS
rxn02445	DHEASULT
rxn01203	DHEDAA
rxn02238	DHFLAVONOLR1
rxn38079	DHFLAVONOLR1
rxn02598	DHFLAVONOLR2
rxn38395	DHFLAVONOLR2
rxn03352	DHFLAVONOLR3
rxn03413	DHFLAVONOLR4
rxn38437	DHFLAVONOLR4
rxn04462	DHFLAVONOLR5
rxn07788	DHFLAVONOLR6
rxn07789	DHFLAVONOLR7
rxn01602	DHFOR2
rxn00686	DHFR
rxn01603	DHFS
rxn11755	DHFUAH
rxn07970	DHGR
rxn01925	DHLCOALT
rxn31238	DHLCOALT
rxn35538	DHLCOALT
rxn14282	DHLPHEOR
rxn14384	DHMETAT
rxn07537	DHMISHL
rxn04673	DHNAOPT
rxn10093	DHNAOT
rxn08333	DHNAOT4
rxn05267	DHNAOT7
rxn05024	DHNAS
rxn02504	DHNPA
rxn05066	DHOCEHL
rxn08335	DHORD2
rxn13824	DHORD2
rxn36702	DHORD2
rxn37676	DHORD2
rxn38081	DHORD2
rxn08336	DHORD5
rxn01361	DHORD6
rxn13251	DHORDfum
rxn01360	DHORDi
rxn09817	DHORt
rxn34497	DHORt
rxn01465	DHORTS
rxn27794	DHORTS
rxn35449	DHORTS
rxn04473	DHPAAOAOR
rxn02366	DHPDO
rxn07622	DHPGH
rxn01496	DHPHEOGAT
rxn01626	DHPM1
rxn31924	DHPM1
rxn02190	DHPM2
rxn07346	DHPONHL
rxn02293	DHPOR
rxn04599	DHPPD
rxn02475	DHPPDA
rxn01313	DHPR
rxn02200	DHPS
rxn08341	DHPTPE
rxn12749	DHPYRDO
rxn02212	DHQS
rxn02213	DHQTi
rxn01188	DHSKDH
rxn03217	DHSOR
rxn07468	DHSQLD
rxn39847	DHSQLD
rxn04428	DHTCMT
rxn08343	DINSt2
rxn09687	DINSt2
rxn12417	DINSt2
rxn08344	DINt
rxn29209	DINt
rxn03853	DIPAMO
rxn01118	DIPFPFH
rxn06935	DIPH
rxn03931	DKDID
rxn44677	DKDID
rxn12147	DKDID2
rxn08345	DKGLCNR1
rxn08346	DKGLCNR2x
rxn08347	DKGR
rxn08348	DKMPPD
rxn05092	DKMPPD2
rxn05106	DKMPPD3
rxn05107	DKMPPD3
rxn11968	DLYSAT
rxn00062	DM_atp_c_
rxn09694	DM_atp_c_e
rxn45134	DM_CHOR
EX_cpd08636	DM_dhptd(c)
rxn12950	DM_nadh
rxn02693	DMADPMAT
rxn02398	DMAOR
rxn37883	DMAOR
rxn37884	DMAOR
rxn37885	DMAOR
rxn10497	DMAt2r
rxn01213	DMATT
rxn13826	DMATT
rxn01817	DMFAH
rxn12739	DMGDH2
rxn05011	DMGLYMT
rxn01819	DMLARGAH
rxn02202	DMMHL
rxn00987	DMMPL
rxn11733	DMPPL
rxn08352	DMPPS
rxn04996	DMPPS2r
rxn04547	DMPTCNMT
rxn08353	DMQMT
rxn06942	DMQMT2
rxn11946	DMQMT2
rxn07355	DMSDMT
rxn07352	DMSDNMT
rxn08354	DMSOR1
rxn08356	DMSOR2
rxn08357	DMSORdmq
rxn10130	DMSORdmq
rxn08355	DMSORmq
rxn10129	DMSORmq
rxn08358	DMSOtex
rxn07366	DMSPDMT
rxn07360	DMSPDNMT
rxn08359	DMStex
rxn07358	DMTHSMT
rxn07749	DMXNTHNR
rxn07750	DMXR
rxn03734	DNFR
rxn03168	DNMPPA
rxn05763	DNNH
rxn03173	DNTPPA
rxn03042	DOAGEGL
rxn03763	DOAPCOR
rxn02512	DOBGAGSSH
rxn02907	DOCTNKI
rxn11749	DOFCAH
rxn02842	DOGDH
rxn03274	DOGULND1
rxn03111	DOGULND2
rxn01911	DOGULNR
rxn06488	DOLH
rxn04323	DOMFDOR
rxn15812	DOPACCL
rxn02611	DOPACHRMDC
rxn08363	DOPAtu
rxn32014	DOPAtu
rxn02479	DOPHOR
rxn02700	DOPZNAH
rxn06648	DORNTPOR
rxn00100	DPCOAK
rxn13781	DPCOAt
rxn01104	DPGase
rxn01216	DPGM
rxn00829	DPMVDc
rxn10785	DPPS
rxn11679	DPPT
rxn01790	DPRr
rxn01987	DRBK
rxn13783	dreplication
rxn05549	DRIBabc
rxn00798	DRIBI
rxn46472	DRIBI
rxn29369	DRIBt
rxn12579	DRIBt2r
rxn00784	DRPAr
rxn19461	DRPAr
rxn05649	DSERt2r
rxn08372	DSERt2r
rxn33561	DSMSTEROLte
rxn03807	DTDP4D6DGHL
rxn06929	DTDP4D6DGHL
rxn01513	DTMPK
rxn05679	dTMPt2
rxn33138	DTTPte
rxn33141	DTTPte
rxn09686	DTTPti
rxn00720	DURAD
rxn01028	DURAD2
rxn01369	DURI2OR
rxn01518	DURIK1
rxn01799	DURIPP
rxn08377	DURIt
rxn10984	DURIt
rxn08376	DURIt2
rxn09685	DURIt2
rxn12418	DURIt2
rxn01519	DUTPDP
rxn11940	DVPROTOCHLOROPH1
rxn11941	DVPROTOCHLOROPH2
rxn11942	DVPROTOCHLOROPH3
rxn03958	DXPRIr
rxn03909	DXPS
rxn06094	DXTNAGH
rxn08380	DXYLK
rxn00253	E3HASPAL
rxn01331	E4PD
rxn03845	EAHTZNEAH
rxn05327	EAR100x
rxn05356	EAR100y
rxn05424	EAR10M11
rxn05448	EAR10M11x
