TranslatedReaction	VMHreaction
rxn02913	3HXKYNDCL
rxn04930	3KGK
rxn01244	3M2OBLOXRD
rxn02625	3MASPL
rxn03935	3MBALDOR
rxn06586	3MEBCOADH
rxn00860	3MHISc
rxn07430	3MOBDC2
rxn35549	3MOBDC2
rxn00902	3MOBS
rxn09799	3MOBte
rxn11316	3MOBte
rxn34138	3MOBte
rxn02748	3MOPDC
rxn07434	3MOPDC2
rxn35553	3MOPDC2
rxn06621	3MOPLPAMO
rxn09798	3MOPte
rxn11317	3MOPte
rxn07758	3MXNTHNOR
rxn07757	3MXTHNOR
rxn02143	3OADPCOAT
rxn05338	3OAR100
rxn05422	3OAR10M11
rxn05372	3OAR10M12
rxn05397	3OAR11M12
rxn05340	3OAR120
rxn05426	3OAR12M13
rxn05376	3OAR12M14
rxn05401	3OAR13M14
rxn05342	3OAR140
rxn05430	3OAR14M15
rxn05380	3OAR14M16
rxn05405	3OAR15M16
rxn05336	3OAR160
rxn05461	3OAR180
rxn05339	3OAR40
rxn05410	3OAR4M5
rxn05360	3OAR4M6
rxn05385	3OAR5M6
rxn05337	3OAR60
rxn05414	3OAR6M7
rxn05364	3OAR6M8
rxn05389	3OAR7M8
rxn05341	3OAR80
rxn05368	3OAR8M10
rxn05418	3OAR8M9
rxn05393	3OAR9M10
rxn05343	3OAS100
rxn05425	3OAS10M11
rxn05375	3OAS10M12
rxn05400	3OAS11M12
rxn05348	3OAS120
rxn05429	3OAS12M13
rxn05379	3OAS12M14
rxn05404	3OAS13M14
rxn05345	3OAS140
rxn05344	3OAS160
rxn05460	3OAS180
rxn05409	3OAS2M3
rxn05384	3OAS3M4
rxn05359	3OAS4M3O6
rxn05413	3OAS4M5
rxn05363	3OAS4M6
rxn05388	3OAS5M6
rxn05346	3OAS60
rxn05417	3OAS6M7
rxn05367	3OAS6M8
rxn05392	3OAS7M8
rxn05350	3OAS80
rxn05371	3OAS8M10
rxn05421	3OAS8M9
rxn05396	3OAS9M10
rxn02441	3OPCPOOR
rxn27493	3OPCPOOR
rxn00598	3OXCOAT
rxn05479	3PGt2
rxn30228	3PGt2
rxn30229	3PGt2
rxn31169	3PGtr
rxn32356	3PGtr
rxn32363	3PGtr
rxn34184	3PGtr
rxn11734	3PPYRH
rxn01905	3SALAOR
rxn01906	3SALATAi
rxn01805	3SCITMCOAHL
rxn14302	3SLOR
rxn02993	42A12BOOX
rxn01356	4ABCL
rxn08028	4ABUTt
rxn11258	4ABZS
rxn09794	4ABZt
rxn13206	4ABZt
rxn32655	4ABZt
rxn10421	4ABZt2r
rxn03055	4C2HM6SADH
rxn02814	4COHOR
rxn07898	4FBZOR
rxn07901	4FCHDCOR
rxn07903	4FCHLOR
rxn01462	4GBTAH
rxn12239	4HBADH
rxn00958	4HBALDDH
rxn12376	4HBAt
rxn29143	4HBAt
rxn00962	4HBHYOX
rxn00960	4HBHYOXy
rxn01201	4HBNOX
rxn38972	4HBNOX
rxn00921	4HBZCL
rxn00970	4HBZOR
rxn00961	4HBZORx
rxn00963	4HBZORy
rxn12433	4HBZt2
rxn12549	4HBZt2
rxn12680	4HBZt2
rxn09792	4HBZte
rxn12787	4HBZtex
rxn01944	4HOXPACDOX_NADP_
rxn08006	4HOXPACDt
rxn01945	4HP34DHPD
rxn04702	4HPHACH
rxn23405	4HPHACH
rxn12590	4HPRO_LTt
rxn02360	4HPROI
rxn02946	4HPROOX
rxn03446	4HTHRS
rxn14394	4IDZLOR
rxn11209	4MOPAT
rxn07432	4MOPDC2
rxn35554	4MOPDC2
